word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
laughter,1,8.5,0.9313,3600.0,,,1728.0
happiness,2,8.44,0.9723,1853.0,2458.0,,1230.0
love,3,8.42,1.1082,25.0,317.0,328.0,23.0
happy,4,8.3,0.9949,65.0,1372.0,1313.0,375.0
laughed,5,8.26,1.1572,3334.0,3542.0,,2332.0
laugh,6,8.22,1.3746,1002.0,3998.0,4488.0,647.0
laughing,7,8.2,1.1066,1579.0,,,1122.0
excellent,8,8.18,1.1008,1496.0,1756.0,3155.0,
laughs,9,8.18,1.1551,3554.0,,,2856.0
joy,10,8.16,1.0568,988.0,2336.0,2723.0,809.0
successful,11,8.16,1.0759,2176.0,1198.0,1565.0,
win,12,8.12,1.0812,154.0,3031.0,776.0,694.0
rainbow,13,8.1,0.9949,2726.0,,,1723.0
smile,14,8.1,1.0152,925.0,2666.0,2898.0,349.0
won,15,8.1,1.2164,810.0,1167.0,439.0,1493.0
pleasure,16,8.08,0.9655,1497.0,1526.0,4253.0,1398.0
smiled,17,8.08,1.066,,3537.0,,2248.0
rainbows,18,8.06,1.3603,,,,4216.0
winning,19,8.04,1.049,1876.0,,1426.0,3646.0
celebration,20,8.02,1.5318,3306.0,,2762.0,4070.0
enjoyed,21,8.02,1.5318,1530.0,2908.0,3502.0,
healthy,22,8.02,1.0593,1393.0,3200.0,3292.0,4619.0
music,23,8.02,1.1156,132.0,875.0,167.0,374.0
celebrating,24,8.0,1.1429,2550.0,,,
congratulations,25,8.0,1.6288,2246.0,,,
weekend,26,8.0,1.2936,317.0,,833.0,2256.0
celebrate,27,7.98,1.1516,1606.0,,3574.0,2108.0
comedy,28,7.98,1.1516,1444.0,,2566.0,
jokes,29,7.98,0.9792,2812.0,,,3808.0
rich,30,7.98,1.3169,1625.0,1221.0,1469.0,890.0
victory,31,7.98,1.0784,1809.0,2341.0,687.0,2845.0
christmas,32,7.96,1.293,138.0,3846.0,2097.0,599.0
free,33,7.96,1.261,85.0,342.0,393.0,219.0
friendship,34,7.96,1.1241,4273.0,3098.0,3669.0,3980.0
fun,35,7.96,1.3087,110.0,4135.0,2189.0,463.0
holidays,36,7.96,1.261,1204.0,,,
loved,37,7.96,1.1599,465.0,2178.0,890.0,517.0
loves,38,7.96,1.3696,780.0,,,653.0
loving,39,7.96,1.0093,947.0,4396.0,230.0,527.0
beach,40,7.94,1.0577,573.0,3596.0,551.0,1475.0
hahaha,41,7.94,1.5572,428.0,,,
kissing,42,7.94,1.1323,,,,2052.0
sunshine,43,7.94,1.1678,2080.0,,,950.0
beautiful,44,7.92,1.1753,266.0,1159.0,1754.0,467.0
delicious,45,7.92,1.2591,1565.0,,,
friends,46,7.92,1.1925,258.0,658.0,347.0,321.0
funny,47,7.92,1.0467,358.0,,3194.0,755.0
outstanding,48,7.92,1.14,4468.0,4721.0,1797.0,
paradise,49,7.92,1.3974,3096.0,,,1146.0
sweetest,50,7.92,1.2911,,,,2232.0
